series	season	category	title
classic-who	20	Main Show	Arc of Infinity (1)
classic-who	20	Main Show	Arc of Infinity (2)
classic-who	20	Main Show	Arc of Infinity (3)
classic-who	20	Main Show	Arc of Infinity (4)
classic-who	20	Main Show	Snakedance (1)
classic-who	20	Main Show	Snakedance (2)
classic-who	20	Main Show	Snakedance (3)
classic-who	20	Main Show	Snakedance (4)
classic-who	20	Main Show	Mawdryn Undead (1)
classic-who	20	Main Show	Mawdryn Undead (2)
classic-who	20	Main Show	Mawdryn Undead (3)
classic-who	20	Main Show	Mawdryn Undead (4)
classic-who	20	Main Show	Terminus (1)
classic-who	20	Main Show	Terminus (2)
classic-who	20	Main Show	Terminus (3)
classic-who	20	Main Show	Terminus (4)
